what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518626838974
executed,command,org.eclipse.ui,3.109.0.v20170411-1742,"org.eclipse.ui.edit.paste",1518626845606
deactivated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518626850744
activated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518626850852
deactivated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518626864361
activated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518626911566
executed,command,org.eclipse.ui,3.109.0.v20170411-1742,"org.eclipse.ui.edit.paste",1518626916953
executed,command,org.eclipse.ui,3.109.0.v20170411-1742,"org.eclipse.ui.file.save",1518627078762
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1518627078849
started,bundle,org.eclipse.wst.common.frameworks,1.2.201.v201707201954,"org.eclipse.wst.common.frameworks",1518627078873
started,bundle,org.eclipse.wst.common.emf,1.2.500.v201701191735,"org.eclipse.wst.common.emf",1518627078873
started,bundle,org.eclipse.jem.util,2.1.201.v201707201954,"org.eclipse.jem.util",1518627078888
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107081800,"org.eclipse.wst.common.emfworkbench.integration",1518627078888
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1518627078888
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908251833,"org.eclipse.wst.common.core",1518627078904
started,bundle,org.eclipse.wst.common.modulecore,1.3.0.v201705041406,"org.eclipse.wst.common.modulecore",1518627078904
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1518627078951
deactivated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518627079683
activated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518627082808
deactivated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518627246701
activated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518627246926
executed,command,org.eclipse.ui,3.109.0.v20170411-1742,"org.eclipse.ui.edit.undo",1518627249790
deactivated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518627648451
activated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518627650079
deactivated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518628554405
activated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518629439354
deactivated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518629439432
activated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518629652420
deactivated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518629653198
activated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518638474309
deactivated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518638489210
activated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518644849668
deactivated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518644850730
activated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518644851933
deactivated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518644852043
activated,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518644855137
closed,view,org.eclipse.jdt.ui,3.13.1.v20170822-1011,"org.eclipse.jdt.ui.PackageExplorer",1518644855262
closed,view,org.eclipse.ui.console,3.7.1.v20170728-0806,"org.eclipse.ui.console.ConsoleView",1518644855308
closed,view,org.eclipse.ui.views,,"org.eclipse.ui.views.ContentOutline",1518644855324
closed,editor,org.eclipse.jdt.ui,3.13.1.v20170822-1011,"org.eclipse.jdt.ui.CompilationUnitEditor",1518644855371
closed,workbench,org.eclipse.ui.workbench,3.110.1.v20170704-1208,"",1518644855512
stopped,bundle,org.eclipse.m2e.logback.configuration,1.8.1.20170728-1531,"org.eclipse.m2e.logback.configuration",1518644856746
stopped,bundle,org.eclipse.buildship.ui,2.1.2.v20170807-1324,"org.eclipse.buildship.ui",1518644856746
stopped,bundle,org.eclipse.buildship.core,2.1.2.v20170807-1324,"org.eclipse.buildship.core",1518644856746
stopped,bundle,org.eclipse.recommenders.apidocs.rcp,2.4.10.v20170911-1410,"org.eclipse.recommenders.apidocs.rcp",1518644856746
stopped,bundle,org.eclipse.egit.mylyn.ui,4.8.0.201706111038-r,"org.eclipse.egit.mylyn.ui",1518644856746
stopped,bundle,org.eclipse.mylyn.git.ui,1.15.0.v20170411-2003,"org.eclipse.mylyn.git.ui",1518644856746
stopped,bundle,org.eclipse.egit.ui,4.8.0.201706111038-r,"org.eclipse.egit.ui",1518644856746
stopped,bundle,org.eclipse.mylyn.git.core,1.15.0.v20170411-2003,"org.eclipse.mylyn.git.core",1518644856746
stopped,bundle,org.eclipse.oomph.setup.editor,1.8.0.v20170327-1117,"org.eclipse.oomph.setup.editor",1518644856762
stopped,bundle,org.eclipse.oomph.resources.edit,1.8.0.v20170318-0419,"org.eclipse.oomph.resources.edit",1518644856762
stopped,bundle,org.eclipse.oomph.workingsets.editor,1.8.0.v20170327-1117,"org.eclipse.oomph.workingsets.editor",1518644856762
stopped,bundle,org.eclipse.oomph.workingsets.edit,1.8.0.v20170318-0419,"org.eclipse.oomph.workingsets.edit",1518644856762
stopped,bundle,org.eclipse.oomph.predicates.edit,1.8.0.v20170318-0419,"org.eclipse.oomph.predicates.edit",1518644856762
stopped,bundle,org.eclipse.oomph.resources,1.8.0.v20170318-0419,"org.eclipse.oomph.resources",1518644856762
stopped,bundle,org.eclipse.oomph.workingsets,1.8.0.v20170318-0419,"org.eclipse.oomph.workingsets",1518644856762
stopped,bundle,org.eclipse.oomph.predicates,1.8.0.v20170327-1117,"org.eclipse.oomph.predicates",1518644856762
stopped,bundle,org.eclipse.egit.core,4.8.0.201706111038-r,"org.eclipse.egit.core",1518644856762
